key,city,district,neighborhood,distanceKm,duration,level,favorite,name,pointOrder,longitude,latitude
BE_IW43-1024,서울,관악구,대학동,1.3,30분,1,0,관악산 자락길(무장애숲길),1469,126.944028,37.45858475
BE_IW43-1025,서울,관악구,대학동,1.3,30분,1,0,관악산 자락길(무장애숲길),1470,126.9445053,37.45860182
BE_IW43-1026,서울,관악구,대학동,1.3,30분,1,0,관악산 자락길(무장애숲길),1471,126.9464575,37.45738177
BE_IW43-1027,서울,관악구,대학동,1.3,30분,1,0,관악산 자락길(무장애숲길),1472,126.9459834,37.45669497
BE_IW43-1028,서울,관악구,대학동,1.3,30분,1,0,관악산 자락길(무장애숲길),1473,126.945168,37.45777918
BE_IW43-1029,서울,관악구,대학동,1.3,30분,1,0,관악산 자락길(무장애숲길),1474,126.9441074,37.47104496
BE_IW43-1030,서울,관악구,대학동,1.3,30분,1,0,관악산 자락길(무장애숲길),1475,126.9457349,37.4696861
BE_IW43-1031,서울,관악구,대학동,1.3,30분,1,0,관악산 자락길(무장애숲길),1476,126.9450633,37.46110873
BE_IW43-1023,서울,관악구,대학동,1.3,30분,1,0,관악산 자락길(무장애숲길),1468,126.9435379,37.45853803
BE_IW43-1068,서울,종로구,종로5·6가동,1.8, 1시간,1,0,흥인지문 구간,1444,127.0075939,37.57384831
BE_IW43-1070,서울,중구,장충동,1.8, 1시간,1,0,흥인지문 구간,1446,127.0049095,37.56087793
BE_IW43-1071,서울,종로구,종로5·6가동,1.8, 1시간,1,0,흥인지문 구간,1465,127.0075731,37.57417637
BE_IW43-1072,서울,중구,장충동,1.8, 1시간,1,0,흥인지문 구간,1466,127.0042611,37.56155241
BE_IW43-1073,서울,중구,광희동,1.8, 1시간,1,0,흥인지문 구간,1467,127.0067347,37.56852916
BE_IW43-1069,서울,중구,광희동,1.8, 1시간,1,0,흥인지문 구간,1445,127.0078857,37.56711205
BE_IW43-1063,서울,종로구,사직동,4, 2시간 30분,2,0,인왕산 구간,1442,126.9656187,37.5784073
BE_IW43-1064,서울,종로구,청운효자동,4, 2시간 30분,2,0,인왕산 구간,1443,126.9643738,37.59535213
BE_IW43-1065,서울,종로구,청운효자동,4, 2시간 30분,2,0,인왕산 구간,1462,126.9651645,37.59499196
BE_IW43-1066,서울,서대문구,충현동,4, 2시간 30분,2,0,인왕산 구간,1463,126.9643492,37.56849207
BE_IW43-1067,서울,종로구,사직동,4, 2시간 30분,2,0,인왕산 구간,1464,126.9703305,37.57871118
BE_IW43-1061,서울,종로구,교남동,4, 2시간 30분,2,0,인왕산 구간,1440,126.9665748,37.57095213
BE_IW43-1062,서울,종로구,사직동,4, 2시간 30분,2,0,인왕산 구간,1441,126.9624528,37.57693723
BE_IW43-1058,서울,중구,회현동,1.8, 1시간,1,0,숭례문 구간,1459,126.9693139,37.55786401
BE_IW43-1056,서울,종로구,교남동,1.8, 1시간,1,0,숭례문 구간,1439,126.9666292,37.57102504
BE_IW43-1055,서울,중구,소공동,1.8, 1시간,1,0,숭례문 구간,1438,126.9732071,37.56288962
BE_IW43-1054,서울,중구,회현동,1.8, 1시간,1,0,숭례문 구간,1437,126.9775975,37.5577937
BE_IW43-1060,서울,서대문구,충현동,1.8, 1시간,1,0,숭례문 구간,1461,126.96416,37.5682866
BE_IW43-1059,서울,중구,소공동,1.8, 1시간,1,0,숭례문 구간,1460,126.9749144,37.56752987
BE_IW43-1057,서울,중구,회현동,1.8, 1시간,1,0,숭례문 구간,1458,126.9760487,37.56119233
BE_IW43-1046,서울,종로구,청운효자동,4.7,3시간,2,0,백산 구간,1431,126.9643738,37.59535213
BE_IW43-1053,서울,종로구,이화동,4.7,3시간,2,0,백산 구간,1455,126.9997958,37.58568355
BE_IW43-1052,서울,종로구,청운효자동,4.7,3시간,2,0,백산 구간,1454,126.9651645,37.59499196
BE_IW43-1051,서울,성북구,성북동,4.7,3시간,2,0,백산 구간,1453,127.0037841,37.59113851
BE_IW43-1050,서울,종로구,혜화동,4.7,3시간,2,0,백산 구간,1435,127.0016075,37.59063894
BE_IW43-1049,서울,종로구,혜화동,4.7,3시간,2,0,백산 구간,1434,126.987994,37.59403283
BE_IW43-1048,서울,성북구,성북동,4.7,3시간,2,0,백산 구간,1433,126.9811833,37.59754139
BE_IW43-1047,서울,종로구,삼청동,4.7,3시간,2,0,백산 구간,1432,126.9789546,37.59840788
BE_IW43-1045,서울,중구,필동,4.2,3시간,2,0,낙산 구간,1452,126.9889599,37.55377239
BE_IW43-1039,서울,중구,장충동,4.2,3시간,2,0,남산 구간,1427,127.0050121,37.56093163
BE_IW43-1040,서울,중구,장충동,4.2,3시간,2,0,남산 구간,1428,126.9980229,37.55503692
BE_IW43-1041,서울,용산구,용산2가동,4.2,3시간,2,0,남산 구간,1429,126.9865096,37.55423321
BE_IW43-1042,서울,중구,회현동,4.2,3시간,2,0,남산 구간,1430,126.9776839,37.55782841
BE_IW43-1043,서울,중구,장충동,4.2,3시간,2,0,낙산 구간,1450,126.9981186,37.55432633
BE_IW43-1044,서울,중구,장충동,4.2,3시간,2,0,낙산 구간,1451,126.9962979,37.55269726
BE_IW43-1038,서울,중구,장충동,4.2,3시간,2,0,남산 구간,1426,127.0042611,37.56155241
